Record ID,Store Name,Store Street Address,Additional Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name
1179343,Bangla Bazar,1218 State St,,Bridgeport,CT,6605,1708,FAIRFIELD,Grocery Store,41.171326,-73.207047,,
1559422,Big Daddy Deli,2489 E Main St,,Bridgeport,CT,6610,1807,FAIRFIELD,Convenience Store,41.208759,-73.178963,,
1401801,Blissful Awakening's Urban Regenerative Farm,81 Clifford St,,Bridgeport,CT,6607,1605,FAIRFIELD,Farmers and Markets,41.176987,-73.168114,,
1207425,Bogopa 345 Huntington Inc 43,345 Huntington Turnpike,,Bridgeport,CT,6610,,FAIRFIELD,Super Store,41.213856,-73.175056,,
1286385,Bom Preco Supermarket,821 Madison Ave,,Bridgeport,CT,6606,5516,FAIRFIELD,Grocery Store,41.192436,-73.204918,,
383134,BOSTON BEEF & PROVISIONS,1805 Boston Ave,,Bridgeport,CT,6610,2610,FAIRFIELD,Grocery Store,41.193516,-73.160553,,
1518754,Boston News & Deli,1358 Boston Ave,,Bridgeport,CT,6610,2615,FAIRFIELD,Convenience Store,41.193314,-73.169273,,
1563134,Boston Variety,790 Boston Ave,,Bridgeport,CT,6610,2108,FAIRFIELD,Convenience Store,41.196251,-73.177689,,
276633,BRIDGEPORT LIVE POULTRY INC.,479 Harral Ave,,Bridgeport,CT,6604,3143,FAIRFIELD,Specialty Store,41.18372,-73.197456,,
1206842,Bridgeport Mini Mart,1025 E Main St,,Bridgeport,CT,6608,1916,FAIRFIELD,Convenience Store,41.188702,-73.180733,,
1338072,Bridgeport Variety Plus,1372 Park Ave,,Bridgeport,CT,6604,3052,FAIRFIELD,Convenience Store,41.179138,-73.202652,,
1142240,Capitol Exxon LLC,565 Lindley St,,Bridgeport,CT,6606,5451,FAIRFIELD,Convenience Store,41.198517,-73.19651,,
535006,CAPTAIN'S FOOD MART,321 Main St,,Bridgeport,CT,6604,5522,FAIRFIELD,Convenience Store,41.168999,-73.186485,,
658584,COMPARE FOOD SUPERMARKET,1050 E Main St,,Bridgeport,CT,6608,1915,FAIRFIELD,Super Store,41.18911,-73.180588,,
1479951,Corner Varietystore,343 Wayne St,,Bridgeport,CT,6606,4649,FAIRFIELD,Convenience Store,41.201969,-73.20916,,
1502885,Creole Ingredient Llc,2051 Main St,,Bridgeport,CT,6604,2721,FAIRFIELD,Convenience Store,41.19133,-73.196869,,
1316176,Ct Gas & Mini Mart Llc,1726 Fairfield Ave,,Bridgeport,CT,6605,2144,FAIRFIELD,Convenience Store,41.169346,-73.214508,,
340343,Cumberland Farms 4731,2525 E Main St,,Bridgeport,CT,6610,1810,FAIRFIELD,Convenience Store,41.21006,-73.178993,,
577544,CVS PHARMACY  1153,1875 Boston Ave,,Bridgeport,CT,6610,2623,FAIRFIELD,Other,41.193298,-73.159431,,
344596,CVS PHARMACY  2143,3710 Main St,,Bridgeport,CT,6606,3613,FAIRFIELD,Other,41.211769,-73.210068,,
1338435,Deli And Grocery Mini Market,743 Arctic St,,Bridgeport,CT,6608,2010,FAIRFIELD,Grocery Store,41.189022,-73.175461,,
1305650,Deli Grocery Llc,1212 Park Ave,,Bridgeport,CT,6604,3413,FAIRFIELD,Convenience Store,41.177536,-73.200951,,
1494988,Dhaka Mart Llc,2394 E Main St,,Bridgeport,CT,6610,1803,FAIRFIELD,Convenience Store,41.207432,-73.178673,,
1141559,Dollar General 15076,577 Fairfield Ave,,Bridgeport,CT,6604,,FAIRFIELD,Other,41.175987,-73.196175,,
941538,Dollar Tree 4323,345 Huntington Tpke,,Bridgeport,CT,6610,1465,FAIRFIELD,Other,41.213894,-73.175064,,
1131137,Dollar Tree 5245,570 Pequonnock St,,Bridgeport,CT,6604,2614,FAIRFIELD,Other,41.18251,-73.205414,,
